Name,Category,Variation,DIY,Buy,Sell,Color 1,Color 2,Source,Seasonal Availability,Mannequin Piece,Style,Villager Equippable
3D glasses,accessories,White,No,490,122,White,Colorful,Able Sisters,All Year,No,Active,Yes
3D glasses,accessories,Black,No,490,122,Black,Colorful,Able Sisters,All Year,No,Active,Yes
bandage,accessories,Beige,No,140,35,Beige,White,Able Sisters,All Year,Yes,Active,No
beak,accessories,Yellow,No,490,122,Yellow,Yellow,Able Sisters,All Year,Yes,Cute,No
birthday shades,accessories,Yellow,No,NFS,620,Yellow,Red,Birthday,All Year,No,Gorgeous,Yes
birthday shades,accessories,Pink,No,NFS,620,Pink,Pink,Birthday,All Year,No,Gorgeous,Yes
birthday shades,accessories,Red,No,NFS,620,Red,Pink,Birthday,All Year,No,Gorgeous,Yes
birthday shades,accessories,Blue,No,NFS,620,Light blue,Green,Birthday,All Year,No,Gorgeous,Yes
bottom-rimmed glasses,accessories,Red,No,1100,275,Red,Red,Able Sisters,All Year,No,Simple,Yes
bottom-rimmed glasses,accessories,Purple,No,1100,275,Purple,Purple,Able Sisters,All Year,No,Simple,Yes
bottom-rimmed glasses,accessories,Green,No,1100,275,Green,Green,Able Sisters,All Year,No,Simple,Yes
bottom-rimmed glasses,accessories,Blue,No,1100,275,Blue,Blue,Able Sisters,All Year,No,Simple,Yes
bottom-rimmed glasses,accessories,Yellow,No,1100,275,Yellow,Yellow,Able Sisters,All Year,Yes,Simple,Yes
bottom-rimmed glasses,accessories,Pink,No,1100,275,Pink,Pink,Able Sisters,All Year,Yes,Simple,Yes
bottom-rimmed glasses,accessories,Black,No,1100,275,Black,Black,Able Sisters,All Year,No,Simple,Yes
browline glasses,accessories,Black,No,1040,260,Black,Yellow,Able Sisters,All Year,Yes,Simple,Yes
browline glasses,accessories,Brown,No,1040,260,Brown,Yellow,Able Sisters,All Year,Yes,Simple,Yes
browline glasses,accessories,Green,No,1040,260,Green,Gray,Able Sisters,All Year,No,Simple,Yes
browline glasses,accessories,Gray,No,1040,260,Gray,Yellow,Able Sisters,All Year,No,Simple,Yes
bubblegum,accessories,Pink,No,140,35,Pink,Pink,Able Sisters,All Year,No,Simple,No
bubblegum,accessories,Blue,No,140,35,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
bubblegum,accessories,Yellow,No,140,35,Yellow,Yellow,Able Sisters,All Year,Yes,Simple,No
bubblegum,accessories,Green,No,140,35,Green,Green,Able Sisters,All Year,No,Simple,No
bubblegum,accessories,White,No,140,35,White,White,Able Sisters,All Year,No,Simple,No
bunny nose,accessories,Pink,No,560,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
bunny nose,accessories,Yellow,No,560,140,Yellow,Orange,Able Sisters,All Year,No,Cute,No
bunny nose,accessories,White,No,560,140,White,Red,Able Sisters,All Year,No,Cute,No
butterfly shades,accessories,Blue,No,1040,260,Black,Blue,Able Sisters,All Year,Yes,Cool,Yes
butterfly shades,accessories,Red,No,1040,260,Red,Brown,Able Sisters,All Year,Yes,Cool,Yes
butterfly shades,accessories,Brown,No,1040,260,Brown,Brown,Able Sisters,All Year,No,Cool,Yes
candy-skull mask,accessories,Purple,No,NFS,800,White,Purple,Gulliver,All Year,No,Gorgeous,No
candy-skull mask,accessories,Orange,No,NFS,800,White,Orange,Gulliver,All Year,No,Gorgeous,No
candy-skull mask,accessories,Blue,No,NFS,800,White,Light blue,Gulliver,All Year,No,Gorgeous,No
cat nose,accessories,White,No,560,140,White,Pink,Able Sisters,All Year,No,Cute,No
cat nose,accessories,Brown,No,560,140,Brown,Beige,Able Sisters,All Year,No,Cute,No
cat nose,accessories,Navy blue,No,560,140,Blue,Black,Able Sisters,All Year,No,Cute,No
cucumber pack,accessories,Green,No,490,122,Green,Green,Able Sisters,All Year,Yes,Simple,No
curly mustache,accessories,Black,No,700,175,Colorful,Colorful,Able Sisters,All Year,No,Simple,No
cyber shades,accessories,Red,No,1300,325,Red,Black,Able Sisters,All Year,No,Active,Yes
cyber shades,accessories,Black,No,1300,325,Black,Black,Able Sisters,All Year,No,Active,Yes
cyber shades,accessories,Silver,No,1300,325,Gray,Black,Able Sisters,All Year,No,Active,Yes
cyber shades,accessories,Purple,No,1300,325,Purple,Black,Able Sisters,All Year,No,Active,Yes
cyber shades,accessories,Green,No,1300,325,Green,Black,Able Sisters,All Year,No,Active,Yes
cyber shades,accessories,Yellow,No,1300,325,Yellow,Black,Able Sisters,All Year,No,Active,Yes
DAL eye mask,accessories,Blue,No,NFS,1010,Blue,Blue,Dodo Airlines,All Year,No,Simple,Yes
DAL sunglasses,accessories,Yellow,No,NFS,1010,Yellow,Blue,Dodo Airlines,All Year,No,Gorgeous,Yes
doctor's mask,accessories,White,No,140,35,White,White,Able Sisters,All Year,No,Simple,No
dog nose,accessories,White,No,560,140,White,Black,Able Sisters,All Year,No,Cute,No
dog nose,accessories,Beige,No,560,140,Orange,Black,Able Sisters,All Year,No,Cute,No
dog nose,accessories,Black,No,560,140,Black,Black,Able Sisters,All Year,No,Cute,No
double-bridge glasses,accessories,Gold,No,1100,275,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
double-bridge glasses,accessories,Purple,No,1100,275,Purple,Purple,Able Sisters,All Year,Yes,Elegant,Yes
double-bridge glasses,accessories,Silver,No,1100,275,Gray,Gray,Able Sisters,All Year,Yes,Elegant,Yes
double-bridge glasses,accessories,Blue,No,1100,275,Blue,Blue,Able Sisters,All Year,No,Elegant,Yes
drinking-straw glasses,accessories,Green,No,560,140,Green,Green,Able Sisters,All Year,No,Active,No
drinking-straw glasses,accessories,Blue,No,560,140,Light blue,Light blue,Able Sisters,All Year,No,Active,No
drinking-straw glasses,accessories,Pink,No,560,140,Pink,Pink,Able Sisters,All Year,No,Active,No
drinking-straw glasses,accessories,White,No,560,140,White,White,Able Sisters,All Year,No,Active,No
eye mask,accessories,Blue,No,560,140,Blue,Black,Able Sisters,All Year,No,Simple,Yes
eye mask,accessories,Pink,No,560,140,Pink,Black,Able Sisters,All Year,No,Simple,Yes
eye mask,accessories,Gray,No,560,140,Gray,Black,Able Sisters,All Year,No,Simple,Yes
eye mask,accessories,Green,No,560,140,Green,Black,Able Sisters,All Year,No,Simple,Yes
eye mask,accessories,Orange,No,560,140,Orange,Black,Able Sisters,All Year,No,Simple,Yes
eye mask,accessories,Red,No,560,140,Red,Black,Able Sisters,All Year,No,Simple,Yes
eye patch,accessories,Black,No,140,35,Black,Black,Able Sisters,All Year,No,Cool,Yes
facial mask,accessories,White,No,560,140,White,White,Able Sisters,All Year,No,Simple,No
fake nose,accessories,Red,No,490,122,Red,Red,Able Sisters,All Year,No,Cute,No
