Category,DIY,Sell,Color 1,Color 2,Source,Seasonal Availability,Mannequin Piece,Style,Villager Equippable
accessories,No,122,White,Colorful,Able Sisters,All Year,No,Active,Yes
accessories,No,122,Black,Colorful,Able Sisters,All Year,No,Active,Yes
accessories,No,35,Beige,White,Able Sisters,All Year,Yes,Active,No
accessories,No,122,Yellow,Yellow,Able Sisters,All Year,Yes,Cute,No
accessories,No,620,Yellow,Red,Birthday,All Year,No,Gorgeous,Yes
accessories,No,620,Pink,Pink,Birthday,All Year,No,Gorgeous,Yes
accessories,No,620,Red,Pink,Birthday,All Year,No,Gorgeous,Yes
accessories,No,620,Light blue,Green,Birthday,All Year,No,Gorgeous,Yes
accessories,No,275,Red,Red,Able Sisters,All Year,No,Simple,Yes
accessories,No,275,Purple,Purple,Able Sisters,All Year,No,Simple,Yes
accessories,No,275,Green,Green,Able Sisters,All Year,No,Simple,Yes
accessories,No,275,Blue,Blue,Able Sisters,All Year,No,Simple,Yes
accessories,No,275,Yellow,Yellow,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,275,Pink,Pink,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,275,Black,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,260,Black,Yellow,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,260,Brown,Yellow,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,260,Green,Gray,Able Sisters,All Year,No,Simple,Yes
accessories,No,260,Gray,Yellow,Able Sisters,All Year,No,Simple,Yes
accessories,No,35,Pink,Pink,Able Sisters,All Year,No,Simple,No
accessories,No,35,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
accessories,No,35,Yellow,Yellow,Able Sisters,All Year,Yes,Simple,No
accessories,No,35,Green,Green,Able Sisters,All Year,No,Simple,No
accessories,No,35,White,White,Able Sisters,All Year,No,Simple,No
accessories,No,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
accessories,No,140,Yellow,Orange,Able Sisters,All Year,No,Cute,No
accessories,No,140,White,Red,Able Sisters,All Year,No,Cute,No
accessories,No,260,Black,Blue,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,260,Red,Brown,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,260,Brown,Brown,Able Sisters,All Year,No,Cool,Yes
accessories,No,800,White,Purple,Gulliver,All Year,No,Gorgeous,No
accessories,No,800,White,Orange,Gulliver,All Year,No,Gorgeous,No
accessories,No,800,White,Light blue,Gulliver,All Year,No,Gorgeous,No
accessories,No,140,White,Pink,Able Sisters,All Year,No,Cute,No
accessories,No,140,Brown,Beige,Able Sisters,All Year,No,Cute,No
accessories,No,140,Blue,Black,Able Sisters,All Year,No,Cute,No
accessories,No,122,Green,Green,Able Sisters,All Year,Yes,Simple,No
accessories,No,175,Colorful,Colorful,Able Sisters,All Year,No,Simple,No
accessories,No,325,Red,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Black,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Gray,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Purple,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Green,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Yellow,Black,Able Sisters,All Year,No,Active,Yes
accessories,No,35,White,White,Able Sisters,All Year,No,Simple,No
accessories,No,140,White,Black,Able Sisters,All Year,No,Cute,No
accessories,No,140,Orange,Black,Able Sisters,All Year,No,Cute,No
accessories,No,140,Black,Black,Able Sisters,All Year,No,Cute,No
accessories,No,275,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
accessories,No,275,Purple,Purple,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,275,Gray,Gray,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,275,Blue,Blue,Able Sisters,All Year,No,Elegant,Yes
accessories,No,140,Green,Green,Able Sisters,All Year,No,Active,No
accessories,No,140,Light blue,Light blue,Able Sisters,All Year,No,Active,No
accessories,No,140,Pink,Pink,Able Sisters,All Year,No,Active,No
accessories,No,140,White,White,Able Sisters,All Year,No,Active,No
accessories,No,140,Blue,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Pink,Black,Able Sisters,All Year,No,Simple,Yes
